Learning Rate,Iterations,Train MSE
0.001,1000,87.49262617616398
0.001,3000,13.362737477843076
0.001,5000,11.732751633925238
0.001,10000,11.345562429569396
0.005,1000,11.732130675663887
0.005,3000,11.18433708459507
0.005,5000,11.056331707629493
0.005,10000,10.98951998025027
0.01,1000,11.345399032259056
0.01,3000,11.028986014624316
0.01,5000,10.989516225041998
0.01,10000,10.979575474647826
0.05,1000,10.989486212893276
0.05,3000,10.979267109750314
0.05,5000,10.979255856783938
0.05,10000,10.979255842373474
0.1,1000,10.979572218926606
0.1,3000,10.9792558428805
0.1,5000,10.979255842373476
0.1,10000,10.979255842373474
